# feature_id	behavior_contract	tests
feature_coverage_matrix	Feature coverage matrix references every release behavioral test script.	test-feature-coverage-matrix.sh
startup_bridge_timeouts	Desktop startup bridge actions use explicit timeout policy.	test-startup-bridge-timeouts.sh
startup_boot_order	Desktop startup prefers ready-port detect/start before ensure-site fallback.	test-startup-boot-order.sh
startup_port_resolution	Desktop launcher resolves URL port without command-substitution capture hangs.	test-startup-run-artificer-port-resolution.sh
splash_status_contract	Splash keeps a stable preparing message until ready or error.	test-splash-status-contract.sh
run_stream_poll_lifecycle	Run stream polling drains final deltas before stop and avoids lost streamed content.	test-run-stream-poll-lifecycle.sh
run_event_status_copy	Run status copy remains latest-run scoped and non-contradictory while active runs continue.	test-run-event-status-copy-consistency.sh
run_mode_domain_parity	Run-mode tuning, policy, controller directives, quick/budget routing, stream security parity, and state-memory focus stay synchronized across adaptive, programming, security, reporting, teaching, chat, and instant domains.	test-run-mode-domain-parity.sh
run_mode_ui_normalization_parity	Canonical run modes and default-profile depth contracts stay synchronized across backend normalization, backend tuning, frontend normalization, and run-mode menus.	test-run-mode-ui-normalization-parity.sh
control_mode_ui_normalization_parity	Compute budget, command execution mode, and permissions normalization stay synchronized across backend runtime rules, frontend state normalization, and visible control menus.	test-control-mode-ui-normalization-parity.sh
runtime_alias_normalization_contract	Runtime action surfaces canonicalize accepted aliases consistently for queue runs, automations, and command policy mode persistence.	test-runtime-alias-normalization-contract.sh
workspace_add_modal_and_tilde	Add Project supports ~/ expansion and modal action order.	test-add-workspace-tilde-and-modal-actions.sh,test-add-workspace-tilde-runtime.sh
workspace_browse_path_population	Browse and directory picker populate folder path and placeholder.	test-workspace-browse-path-population.sh
workspace_drag_surface	Project rows drag from row surface (not drag-handle controls).	test-workspace-drag-surface-behavior.sh
automations_layout	Automations appears as left-nav section with right-pane workflow.	test-automations-pane-layout.sh
self_reflexive_self_actuation	Permissions include reflexive knowledge plus self-actuation and wire both through run/queue/runtime command gating.	test-self-reflexive-self-actuation-permissions.sh
self_knowledge_introspection	Reflexive knowledge runtime exposes structured self-knowledge and contributor-level LLM/Ollama teaching surfaces through API and appctl.	test-self-knowledge-introspection-surface.sh
self_actuation_command_surface	Self-actuation supports id-safe list-and-mutate command workflows through appctl, runtime allowlists, and controller guidance.	test-self-actuation-command-surface.sh
self_actuation_allowlist_validation	Self-actuation and reflexive allowlists enforce strict per-command argument shape and gate-sensitive command access.	test-self-actuation-allowlist-validation.sh
self_actuation_e2e_lifecycle	Self-actuation mediated operations succeed end-to-end in isolated runtime state (project/thread/automation create-list-mutate-verify-delete).	test-self-actuation-e2e-lifecycle.sh
self_actuation_orchestration_policy_audit	Self-actuation orchestration enforces preview/confirm, policy controls, idempotent apply replay, and auditable event history.	test-self-actuation-orchestrate-policy-audit.sh
self_actuation_orchestrate_operation_coverage	Every orchestrated self-actuation operation executes through preview/apply with state verification in isolated runtime.	test-self-actuation-orchestrate-operation-coverage.sh
self_knowledge_drift_guards	Registry topics, reflexive prompt topics, GUI labels, and command-surface contracts stay synchronized without silent drift.	test-self-knowledge-drift-guards.sh
self_knowledge_capability_roadmap_quality	Self-knowledge teach/show payloads explain current strengths, model ceilings, engineering gaps, and measurable next improvements.	test-self-knowledge-capability-roadmap-quality.sh
self_improve_runtime_capability_benchmark	Self-improvement runtime evidence exposes the latest capability benchmark scorecards and comparisons for measured gap-aware improvement planning.	test-self-improve-runtime-capability-benchmark.sh
self_improve_capability_benchmark_cycle	Cross-domain capability benchmark manifest, plan, score, and compare flows remain deterministic and promotable against real family scorecards.	test-capability-benchmark-cycle.sh
self_knowledge_self_actuation_quality	Self-knowledge teach/show payloads for self-actuation remain explicit, operational, and diagnostically complete.	test-self-knowledge-self-actuation-quality.sh
model_catalog_metadata	Model rows preserve description optionality and always include size metadata.	test-model-catalog-installed-metadata.sh
model_auto_refresh_recovery	Model list refresh loop recovers after failed fetch cycles.	test-model-auto-refresh-recovery.sh
ui_state_durable_backend	Desktop preferences persist via backend UI state API.	test-ui-state-durable-backend.sh
frontend_module_bundle_order	Runtime module fragments remain bounded and deterministically bundled.	test-frontend-module-fragment-order.sh
form_control_width_policy	Short form controls avoid global full-width anti-patterns.	test-form-controls-no-global-fullwidth.sh
site_cgi_runtime_sync	Site runtime ensure-site sync keeps cgi runtime tree and links consistent.	test-site-cgi-runtime-sync.sh
cgi_action_surface_contract	Public CGI action surface remains allowlisted and bounded.	test-cgi-action-surface-contract.sh
backend_modular_loaders	Large backend runtimes load from modular shard directories.	test-backend-modular-loaders.sh
wizardry_runtime_fallback	Runtime bootstrap falls back to home wizardry install safely.	test-wizardry-runtime-fallback.sh
core_runtime_perl_fallback	Core runtime optional perl helpers have safe fallbacks.	test-core-runtime-perl-fallback.sh
local_paths_script_isolation	Local paths and assay script site roots remain isolated from repo tree.	test-local-paths-script-site-isolation.sh
generated_artifacts_policy	Generated artifacts are either ignored or regenerated from canonical sources.	test-generated-artifacts-policy.sh
publish_surface_defaults	Public publish surface avoids local/private defaults.	test-publish-surface-neutral-defaults.sh
third_party_notices_integrity	Third-party notices remain present and consistent.	test-third-party-notices.sh
shell_strict_mode	Executable shell entrypoints enforce strict mode and safe PATH policy.	test-executable-shell-strict-mode.sh
ci_shell_lint_workflow	CI includes shell lint workflow for release scripts.	test-ci-shell-lint-workflow.sh
ci_release_suite_hook	CI runs full release test suite hook.	test-ci-workflow-runs-release-test-suite.sh
